"Year" "Geo" "Age" "Sex" "Pop"
2015 3354 "75" 1 1479
2015 3354 "75" 2 1722
2015 3354 "80" 1 780
2015 3354 "80" 2 1095
2015 3354 "85" 1 392
2015 3354 "85" 2 742
2015 3354 "90" 1 144
2015 3354 "90" 2 418
2015 3355 "60" 1 5182
2015 3355 "60" 2 5405
2015 3355 "65" 1 4527
2015 3355 "65" 2 4794
2015 3355 "70" 1 3950
2015 3355 "70" 2 4367
2015 3355 "75" 1 3768
2015 3355 "75" 2 4654
2015 3355 "80" 1 1886
2015 3355 "80" 2 2757
2015 3355 "85" 1 941
2015 3355 "85" 2 1893
2015 3355 "90" 1 311
2015 3355 "90" 2 1193
2015 3356 "60" 1 3544
2015 3356 "60" 2 3778
2015 3356 "65" 1 3388
2015 3356 "65" 2 3506
2015 3356 "70" 1 2909
2015 3356 "70" 2 3319
2015 3356 "75" 1 2926
2015 3356 "75" 2 3417
2015 3356 "80" 1 1397
2015 3356 "80" 2 1899
2015 3356 "85" 1 655
2015 3356 "85" 2 1207
2015 3356 "90" 1 187
2015 3356 "90" 2 735
2015 3357 "60" 1 5176
2015 3357 "60" 2 5252
2015 3357 "65" 1 4517
2015 3357 "65" 2 4371
2015 3357 "70" 1 3630
2015 3357 "70" 2 3731
2015 3357 "75" 1 3830
2015 3357 "75" 2 4372
2015 3357 "80" 1 1899
2015 3357 "80" 2 2707
2015 3357 "85" 1 938
2015 3357 "85" 2 1723
2015 3357 "90" 1 297
2015 3357 "90" 2 1102
2015 3358 "60" 1 4359
2015 3358 "60" 2 4408
2015 3358 "65" 1 3716
2015 3358 "65" 2 3784
2015 3358 "70" 1 3294
2015 3358 "70" 2 3609
2015 3358 "75" 1 3430
2015 3358 "75" 2 4193
2015 3358 "80" 1 1755
2015 3358 "80" 2 2631
2015 3358 "85" 1 959
2015 3358 "85" 2 1680
2015 3358 "90" 1 322
2015 3358 "90" 2 1071
2015 3359 "60" 1 5961
2015 3359 "60" 2 6407
2015 3359 "65" 1 5454
2015 3359 "65" 2 5755
2015 3359 "70" 1 4620
2015 3359 "70" 2 5114
