"Date"	"Gender"	"geogcode"	"Age"	"value type"	"value"	"flag"
"2011"	"Male"	"E08000008"	"Age 86"	"number"	221	""
"2011"	"Male"	"E08000008"	"Age 87"	"number"	193	""
"2011"	"Male"	"E08000008"	"Age 88"	"number"	142	""
"2011"	"Male"	"E08000008"	"Age 89"	"number"	141	""
"2011"	"Male"	"E08000008"	"Aged 90+"	"number"	341	""
"2011"	"Male"	"E08000009"	"Aged 60-64"	"number"	6366	""
"2011"	"Male"	"E08000009"	"Aged 65-69"	"number"	4695	""
"2011"	"Male"	"E08000009"	"Aged 70-74"	"number"	3891	""
"2011"	"Male"	"E08000009"	"Aged 75-79"	"number"	3276	""
"2011"	"Male"	"E08000009"	"Aged 80-84"	"number"	2307	""
"2011"	"Male"	"E08000009"	"Age 85"	"number"	311	""
"2011"	"Male"	"E08000009"	"Age 86"	"number"	261	""
"2011"	"Male"	"E08000009"	"Age 87"	"number"	260	""
"2011"	"Male"	"E08000009"	"Age 88"	"number"	220	""
"2011"	"Male"	"E08000009"	"Age 89"	"number"	167	""
"2011"	"Male"	"E08000009"	"Aged 90+"	"number"	497	""
"2011"	"Male"	"E08000010"	"Aged 60-64"	"number"	10553	""
"2011"	"Male"	"E08000010"	"Aged 65-69"	"number"	8646	""
"2011"	"Male"	"E08000010"	"Aged 70-74"	"number"	6450	""
"2011"	"Male"	"E08000010"	"Aged 75-79"	"number"	4385	""
"2011"	"Male"	"E08000010"	"Aged 80-84"	"number"	2641	""
"2011"	"Male"	"E08000010"	"Age 85"	"number"	349	""
"2011"	"Male"	"E08000010"	"Age 86"	"number"	288	""
"2011"	"Male"	"E08000010"	"Age 87"	"number"	289	""
"2011"	"Male"	"E08000010"	"Age 88"	"number"	176	""
"2011"	"Male"	"E08000010"	"Age 89"	"number"	169	""
"2011"	"Male"	"E08000010"	"Aged 90+"	"number"	396	""
"2011"	"Male"	"E07000117"	"Aged 60-64"	"number"	2816	""
"2011"	"Male"	"E07000117"	"Aged 65-69"	"number"	2129	""
"2011"	"Male"	"E07000117"	"Aged 70-74"	"number"	1634	""
"2011"	"Male"	"E07000117"	"Aged 75-79"	"number"	1147	""
"2011"	"Male"	"E07000117"	"Aged 80-84"	"number"	794	""
"2011"	"Male"	"E07000117"	"Age 85"	"number"	101	""
"2011"	"Male"	"E07000117"	"Age 86"	"number"	85	""
"2011"	"Male"	"E07000117"	"Age 87"	"number"	86	""
"2011"	"Male"	"E07000117"	"Age 88"	"number"	71	""
"2011"	"Male"	"E07000117"	"Age 89"	"number"	79	""
"2011"	"Male"	"E07000117"	"Aged 90+"	"number"	189	""
"2011"	"Male"	"E07000118"	"Aged 60-64"	"number"	3857	""
"2011"	"Male"	"E07000118"	"Aged 65-69"	"number"	3064	""
"2011"	"Male"	"E07000118"	"Aged 70-74"	"number"	2192	""
"2011"	"Male"	"E07000118"	"Aged 75-79"	"number"	1507	""
"2011"	"Male"	"E07000118"	"Aged 80-84"	"number"	880	""
"2011"	"Male"	"E07000118"	"Age 85"	"number"	122	""
"2011"	"Male"	"E07000118"	"Age 86"	"number"	129	""
"2011"	"Male"	"E07000118"	"Age 87"	"number"	106	""
"2011"	"Male"	"E07000118"	"Age 88"	"number"	66	""
"2011"	"Male"	"E07000118"	"Age 89"	"number"	55	""
"2011"	"Male"	"E07000118"	"Aged 90+"	"number"	185	""
"2011"	"Male"	"E07000119"	"Aged 60-64"	"number"	2735	""
"2011"	"Male"	"E07000119"	"Aged 65-69"	"number"	2519	""
"2011"	"Male"	"E07000119"	"Aged 70-74"	"number"	1871	""
"2011"	"Male"	"E07000119"	"Aged 75-79"	"number"	1605	""
"2011"	"Male"	"E07000119"	"Aged 80-84"	"number"	1186	""
"2011"	"Male"	"E07000119"	"Age 85"	"number"	168	""
"2011"	"Male"	"E07000119"	"Age 86"	"number"	160	""
"2011"	"Male"	"E07000119"	"Age 87"	"number"	119	""
"2011"	"Male"	"E07000119"	"Age 88"	"number"	96	""
"2011"	"Male"	"E07000119"	"Age 89"	"number"	106	""
"2011"	"Male"	"E07000119"	"Aged 90+"	"number"	267	""
